COD_BARRAS,DESCRICAO,ESFERIC,CILIND,ADICAO,OLHO
5258969376,Lente Vis Simples 1.50 c/A.R.,"-3,75","-3,50","0,00",
5258969384,Lente Vis Simples 1.50 c/A.R.,"-4,00","-3,50","0,00",
5258967131,Lente Vis Simples 1.50 c/A.R.,"0,00","-3,75","0,00",
5258969392,Lente Vis Simples 1.50 c/A.R.,"-0,25","-3,75","0,00",
5258969400,Lente Vis Simples 1.50 c/A.R.,"-0,50","-3,75","0,00",
5258969418,Lente Vis Simples 1.50 c/A.R.,"-0,75","-3,75","0,00",
5258969426,Lente Vis Simples 1.50 c/A.R.,"-1,00","-3,75","0,00",
5258969434,Lente Vis Simples 1.50 c/A.R.,"-1,25","-3,75","0,00",
5258969442,Lente Vis Simples 1.50 c/A.R.,"-1,50","-3,75","0,00",
5258969459,Lente Vis Simples 1.50 c/A.R.,"-1,75","-3,75","0,00",
5258969467,Lente Vis Simples 1.50 c/A.R.,"-2,00","-3,75","0,00",
5258969475,Lente Vis Simples 1.50 c/A.R.,"-2,25","-3,75","0,00",
5258969483,Lente Vis Simples 1.50 c/A.R.,"-2,50","-3,75","0,00",
5258969491,Lente Vis Simples 1.50 c/A.R.,"-2,75","-3,75","0,00",
5258969509,Lente Vis Simples 1.50 c/A.R.,"-3,00","-3,75","0,00",
5258969517,Lente Vis Simples 1.50 c/A.R.,"-3,25","-3,75","0,00",
5258969525,Lente Vis Simples 1.50 c/A.R.,"-3,50","-3,75","0,00",
5258969533,Lente Vis Simples 1.50 c/A.R.,"-3,75","-3,75","0,00",
5258969541,Lente Vis Simples 1.50 c/A.R.,"-4,00","-3,75","0,00",
5258967149,Lente Vis Simples 1.50 c/A.R.,"0,00","-4,00","0,00",
5258969558,Lente Vis Simples 1.50 c/A.R.,"-0,25","-4,00","0,00",
5258969566,Lente Vis Simples 1.50 c/A.R.,"-0,50","-4,00","0,00",
5258969574,Lente Vis Simples 1.50 c/A.R.,"-0,75","-4,00","0,00",
5258969582,Lente Vis Simples 1.50 c/A.R.,"-1,00","-4,00","0,00",
5258969590,Lente Vis Simples 1.50 c/A.R.,"-1,25","-4,00","0,00",
5258969608,Lente Vis Simples 1.50 c/A.R.,"-1,50","-4,00","0,00",
5258969616,Lente Vis Simples 1.50 c/A.R.,"-1,75","-4,00","0,00",
5258969624,Lente Vis Simples 1.50 c/A.R.,"-2,00","-4,00","0,00",
5258969632,Lente Vis Simples 1.50 c/A.R.,"-2,25","-4,00","0,00",
5258969640,Lente Vis Simples 1.50 c/A.R.,"-2,50","-4,00","0,00",
5258969657,Lente Vis Simples 1.50 c/A.R.,"-2,75","-4,00","0,00",
5258969665,Lente Vis Simples 1.50 c/A.R.,"-3,00","-4,00","0,00",
5258969673,Lente Vis Simples 1.50 c/A.R.,"-3,25","-4,00","0,00",
5258969681,Lente Vis Simples 1.50 c/A.R.,"-3,50","-4,00","0,00",
5258969699,Lente Vis Simples 1.50 c/A.R.,"-3,75","-4,00","0,00",
5258969707,Lente Vis Simples 1.50 c/A.R.,"-4,00","-4,00","0,00",
